业务板块,业务类型,序号,细分场景,内部处理办法及流程,对客话术,涉及反馈部门/微信群/工单模板,图片示例,,
售后业务,账单类,6,首次账户恢复费5元退回注意事项,"1.客户进线反馈对账户恢复服务费不认可，坐席正常解答，但客户仍不满意，受理坐席可在提供的3次方案中，有一个兜底的方案[退回账户恢复费权限]。
2.在此之前需核实此客户是否是首次产生该笔费用（若前期退回过，则不予退回），再者观测客户的沟通态度与合作意愿。
注：查询是否退费记录：通过《客服部-返白费退款登记表》、CRM退款工单进行查询。
1.退费的流程需要以客户账单的支付渠道来判定。
1.1从绑定银行卡划扣、钱包划扣的客户需要退返白服务费：企微添加客户微信发红包。将通行ID、发红包截图、客户银行扣款截图走CRM工单[退款-报销申请]至支持岗。
1.2支付渠道[微信拉卡拉]支付：走CRM工单[退款-退款申请]至支持岗，并附客户提供的扣款明细截图。","【特殊关怀退费（最终方案）】

您好，我们非常重视您的体验。基于您遇到的特殊情况，我们已为您启动了一次性的特殊关怀通道，尝试申请费用减免。

需要向您明确说明的是：

本次申请是基于良好合作关系的特殊处理，后期将不再予以退回。

为确保您后续通行顺畅，请您务必保持绑定银行卡余额充足，避免因再次逾期产生不必要的费用，从而影响ETC的正常使用。

",/,,,
售后业务,账单类,7,客户提问：xxx车牌号，服务费是多少？,"1.黄牌费率：根据车辆列表-产品类型，及绑定银行渠道判断
1.1服务费千2+绑定渠道通道费；
（建行无通道费、农行万5通道费、工行万5通道费、其它银行千2.5通道费、微信信用卡渠道千2.5通道费）
1.2服务费千3.2+绑定渠道通道费；
1.3服务费千4+绑定渠道通道费；
2.次费版费率：根据车辆列表-产品类型判断
2.1次费版：按次收费，单笔通行费<15元，无服务费；单笔通行费≧15元，0.75元/次；单月45元封顶。
2.2次费版（新）：按次收费，单笔通行费＜15元时，无服务费；单笔通行费≥15元（但小于20元）时，0.75元/次；单笔通行费≥20元，0.95元/次；单月45元封顶，无通道费。
","【情况一：黄牌费率产品说明】
您好，为您查询到您车牌的服务费详情如下：
基础服务费：千分之 [XX]
绑定银行：[XX银行]
银行通道费：千分之 [XX]
合计总费率：千分之 [XX]
您的账单实际扣费由以上费用、高速通行费共同构成。

【情况二：次费版产品说明（旧版本）】
您好，经查询，您办理的是次费版产品，服务费按次收取，规则如下：
单笔通行费 ＜ 15元时，免收服务费。
单笔通行费 ≥ 15元时，收取 0.75元/次 的服务费。
单月服务费累计45元封顶。

【情况三：次费版产品说明（新版本）】
您好，经查询，您办理的是次费版产品，服务费按次收取，具体规则如下：
单笔通行费 ＜ 15元：免收服务费
15元 ≤ 单笔通行费 ＜ 20元：收取 0.75元/次
单笔通行费 ≥ 20元：收取 0.95元/次
月封顶：单月服务费累计45元封顶。",/,,,
售后业务,账单类,8,农行渠道通道费须知项,"1.在2025.4.1日前（不含2025.4.1号当天）绑定农行渠道，调整通道费率为0.05%（次费版-通道费为0）；
2.在2025.4.1日（含2025.4.1当天）至7.17日涨费版本上线前，绑定农行渠道，通道费率不变为0.02%（次费版-通道费为0）；
3.7.18日绑定农行渠道通道费为0.05%（次费版-通道费为0）；
4.客户加车规则一致，以农行渠道绑定时间为准（次费版-通道费为0）。",/,/,,,
售后业务,账单类,9,客户进线咨询新办绑定农行渠道涨费问题。,/,"尊敬的客户，您好。

因农业银行上调了与我司的合作通道费率，自 [2025年7月18日] 起，通过农行卡代扣ETC通行费的通道费率将调整为 0.05%。

若您希望继续享受更低的扣费成本，我们为您提供以下两种【0通道费率】方案：

【更换绑定银行卡】：建议您将代扣卡更换为 建设银行卡，即可恢复0通道费率代扣。

【使用解悠钱包】：您也可以开通 解悠钱包 并提前充值，使用钱包余额进行划扣，同样享受0通道费率优惠。

您可根据自身情况选择更便捷的方式，如需操作指引，我们可随时提供帮助。",/,,,
售后业务,账单类,10,客户提问：我的免拉黑券怎么用不了,/,"关于取消“免拉黑券”赠送的重要通知

您好，为更好地保障您的账户安全与信用，规避逾期风险，我司已于【2025年7月18日起】取消“免拉黑券”的赠送服务。

请您务必关注账单，按时还款，以免账户逾期影响您的ETC正常使用。感谢您的理解与支持！",/,,,
售后业务,账单类,11,客户提问：滞纳金怎么变高了,/,"尊敬的客户，您好。

为有效防范因逾期可能引发的账户风险，确保您能持续享受稳定、高效的通行服务，根据《用户协议》相关约定，我司于【2025年7月18日】起，取消滞纳金的5折优惠，恢复按每日【0.1%】的正常标准收取。

请您后续继续保持良好的还款习惯，按时还款，以免产生额外费用并影响账户状态。感谢您的理解与支持！",/,,,
售后业务,账单类,12,客户提问：为什么导出的账单金额与之前的金额不一致,"以往系统金额计算都是按照四舍五入保留两位小数的计算的
，从2025年7月18日调整规则为0舍1入保留两位小数。
例如：计算后金额为1.0001，保留两位小数是1.00；计算后金额为1.001，保留两位小数是1.01；以此类推小数位第三位为1及以上就进位。
1.调整范围：日结和周结账单服务费、通道费、滞纳金的计算。","【关于计费金额计算规则调整的说明】

尊敬的客户，您好。

为提升计费准确性，我司将对系统金额的计算规则进行优化：

既往规则：四舍五入，保留两位小数。

调整后规则：自【2025年7月18日】起，将采用 “0舍1入” 的原则保留两位小数。

规则举例：

若计算结果为 1.0001 元，保留两位小数后为 1.00 元。

若计算结果为 1.001 元，因小数第三位为 1，则进位为 1.01 元。

此次调整旨在确保计费更加精准公平，感谢您的理解与支持！",/,,,
售后业务,账单类,13,逾期还款成功后什么时间解黑？,/,"您好，您的还款已成功。账户通常将在【4至24小时内】自动恢复使用。

需要向您说明的是，由于全国各省市高速路口接收系统指令的时间存在差异，因此具体恢复时间点会因您通行的收费站而略有不同。

请您耐心等待系统全面同步，感谢您的理解。",/,,,
售后业务,账单类,14,当天扣款失败后，扣款失败短信提醒时间,"1.倒数第二次划扣失败：针对农行、建行、宝付，21：40对划扣失败的，会进行短信提醒；
2.最后一次划扣失败：工行、农行、建行、其它银行，22：40对划扣失败的，会进行短信提醒，未结清会进入黑名单；
3.微信以最后一次划扣失败时间发送扣款失败短信；","您好，关于扣款失败短信的发送规则向您说明如下：

短信将通过您绑定的银行渠道发送。经查询，您当前绑定的是 [XX] 渠道。

扣款失败短信发送时间安排：

倒数第二次划扣失败提醒 (21:40)：适用于农业银行、建设银行、宝付渠道。

最后一次划扣失败提醒 (22:40)：适用于工商银行、农业银行、建设银行及其他所有银行渠道。

重要提示：若最后一次划扣仍未成功，账户将会进入黑名单状态。微信渠道的提醒时间与最后一次划扣失败时间同步。",/,,,
售后业务,账单类,15,农行单笔限额超1万划扣失败的处理办法,"农行有单笔限额1万，农行单笔超1万实行不拉黑，客户需要在规定时间（次日17点前）结清账单，若该时间段未结清账单，ETC会进入黑名单。
处理办法：
1.可以换绑其它的银行卡，目前就农业银行渠道有单笔限额1万元的问题；
2.开通解悠钱包将钱充值进钱包等待自动划扣，需要联系解悠客服开通解悠钱包优先扣款功能；
3.若客户不想开通解悠钱包也没有其它银行可以绑定划扣，则可联系解悠在线客服进行对公转。","【关于农业银行划扣限额的说明与处理方案】
一、问题说明与政策
您好，特别向您说明：由于农业银行设有单笔1万元的划扣限额，超过此金额的账单将导致划扣失败。
重要政策：因此类情况导致的失败，系统会给予宽限，不会立即拉黑。但您必须在次日17:00前手动结清该笔账单，若未按时处理，您的ETC仍会进入黑名单。

【二、推荐解决方案（首选）】

为解决此问题，我们为您提供以下两种便捷方案，可任选其一：

方案一：更换绑定银行卡
建议您将代扣银行卡换绑为其他银行（如工行、建行等），即可避免单笔限额问题。

方案二：使用解悠钱包
您可以开通并充值解悠钱包，系统会自动优先从钱包余额中划扣账单，无单笔限额困扰。

三、最终解决方案（备选）
（若以上两种方式均无法操作）
方案三：对公转账
请您通过银行对公转账处理，具体信息如下：
转账金额：[XX] 元
单位名称：解悠数字科技（南京）有限公司
账号：125916877610000
开户行：招商银行股份有限公司南京分行营业部
开户行行号：308301006029
重要提示：转账成功后，请务必将转账凭证提供给在线客服，我们将立即为您提交至相关部门处理结清。","工单类型：收款对账-划扣→流转人（支持岗）
模板：通行ID、姓名、联系方式、车牌号，客户因xx原因申请对公，请核实到账并结清。",,,
售后业务,账单类,16,微信当天划扣次数上限5次，金额上限5000元,微信渠道超限额，客户可手动还款或对公转账，若后期再有超限额情况，让客户转化支付渠道；,"您好，温馨提醒，通过微信渠道自动还款有单日5000元的限额。

若您的账单金额超出此限额，建议您：
立即处理：前往 “解悠货车服务”小程序 手动还清剩余账单。
备选方案：或联系解悠在线客服，通过对公转账方式完成支付。
账单结清后，为避免影响日后通行，建议您将支付方式更换绑定至其他渠道（如其他银行卡或解悠钱包）。",/,,,
售后业务,账单类,17,关于新车主/风控黑名单的车辆，代理或客户进线告知“自己还款/公司还款”，但对逾期还款总金额有疑问（如：查询本金及服务费分别多少、要求减免、纠结滞纳金等情况）的处理流程,"1.走催收业务回访”工单至风险部。
1.1工作日的工单直接流转至风险部，节假日及周末走工单并微信联系董刚转发工单描述事件，处理时效：当天18点前。
注：若客户有时效要求，则将客户信息（姓名、联系方式、车牌号）发至“客服部群”@董睿旋。","您好，您的情况我们已详细记录，并提交至技术部门进行核查。

请您保持通讯畅通，我们预计在今日18:00前会有专人通过电话与您联系。感谢您的耐心等待。","工单类型：催收及业务回访→流转人（风险组）
模板：客户，联系方式，代理/新车主通过在线咨询xx车牌号逾期账单金额，现对逾期金额有疑问/要求减免，烦请联系。
",,,
售后业务,账单类,18,客户进线咨询账单总金额,"1.优先作引导告知客户，自主查询方式。例如：（解悠小程序查询账单金额）
2.若客户不愿意自主查询，则由客服计算金额，并告知客户。","您好，您可以通过以下路径查询账单总额：

进入【解悠货车服务】小程序 → 点击【通行账单】→ 即可查看该笔账单的详细金额。

如需具体金额解读，我也可以为您实时查询。",/,,,
售后业务,账单类,19,主动还款失败报错提示：【下单账号与支付账号不一致】、【系统处理失败，请稍后再试】、【无效的openid】,"1.移除小程序后，重新搜索进入小程序；
2.在解悠小程序退出登陆并重新登陆。","【方案一：清除缓存（基础操作）】

您好，此问题可能是由于小程序缓存异常导致。
请您先彻底关闭并移除当前的“解悠货车服务”小程序，然后重新在微信中搜索进入即可恢复正常操作。

【方案二：重置登录状态（进阶操作）】

您好，此报错需要您刷新登录状态，请按以下步骤操作：
1.进入 “解悠货车服务”小程序，点击 【我的】 → 【退出登录】。
2.退出后，重新进入小程序。
3.在登录页面，请务必选择 【获取手机号并验证登录】 的方式（即通过接收短信验证码完成授权）。
4.登录成功后，即可重新尝试还款操作。",/,"=DISPIMG(""ID_4D27BA814FF64FEA98BE6484AC014354"",1)","=DISPIMG(""ID_8C2ABD7B47994DC2BE8E4198F4DC9E95"",1)",
售后业务,售后业务类,1,已激活设备更换绑定银行卡（微信渠道）（暂停维护）,"客户操作：
1.微信搜索公众号：微信车主服务→车主服务→ETC→车牌号点进去→暂停→关闭→右上角三个点删除车牌；
2.再去解悠小程序→我的→支付方式→微信支付绑定想要绑定的信用卡；
3.微信搜索公众号：微信车主服务→车主服务→ETC→车牌号点进去，核实绑定银行卡及是否自动扣费生效中。
客服操作：“客户列表”核实绑定渠道。","【更换绑定信用卡操作指引】
您好，如需更换绑定的信用卡，请您按以下步骤操作，完成后请联系我们核实结果：
第一步：解除原有授权
1.微信搜索并进入 【微信车主服务】 公众号。
2.点击 【车主服务】 → 【ETC】。
3.选择您的车牌号进入 → 依次操作 【暂停】 → 【关闭】 自动扣费。
4.最后点击页面右上角的“…”，【删除】 该车牌。

第二步：重新绑定新卡
1.前往 “解悠货车服务”小程序。
2.进入 【我的】 → 【支付方式】。
3.点击 【微信支付】，重新绑定您想要使用的信用卡。

第三步：验证绑定结果
1.再次进入 【微信车主服务】 公众号。
2.路径同上：车主服务 → ETC → 选择您的车牌。
3.在此页面核实两件事：
4.绑定的银行卡是否正确。
5.自动扣费服务是否显示为 “生效中”。

完成以上所有步骤后，请您联系解悠客服，我们将为您在后台核实渠道是否已成功绑定并生效。",/,,,
售后业务,售后业务类,2,微信渠道的收费标准（微信串宝付）,"
1.微信渠道实际扣费金额：通行费＋服务费＋千2.5通道费。
1.1客户实际服务费扣费是以9901后台实际服务费进行扣费；
1.2“解悠货车服务”小程序的服务费展示栏是以9901后台对外服务费进行展示。
","【情况一：解释单独扣费的几元或几毛】

您好，您绑定的微信信用卡渠道，其扣款规则如下：
1.微信渠道扣款：通行费 + 服务费 + 0.25%通道费
2.服务费单独扣款：您查询到的这笔小额扣款，是通行该路段产生的服务费。这部分费用会单独从您绑定的储蓄卡中进行划扣。
因此，您在通行账单中看到的是总金额，而服务费会体现为一次单独的储蓄卡扣费记录。

【情况二：解释服务费计算公式】
您好，关于服务费与通道费的具体比例，是由我司与对应的支付渠道（如微信）根据合作协议共同协商确定的。
作为用户端，您实际的扣费金额始终以 “通行费 + 服务费 + 0.25%通道费” 这个公式为准。这是我们与渠道合作的标准计费模式。",/,,,
售后业务,售后业务类,3,微信串宝付渠道注销相关事项,"微信串宝付渠道的客户，提交注销/绑定银行卡/新办，需要核实账单及服务费是否结清。

1.信息收集与核查

①客服收集客户信息：办理人姓名、车牌号、联系电话。
②确认客户确实因“串宝付渠道服务费未结清”导致受限。

2.导出通行记录

①操作人员需使用指定设备（总监办公室的电脑） 登录相关后台。
②根据客户车牌号或办理手机号，导出该客户通行记录（含费用明细）。

3.费用核验

①对导出记录进行人工核对，区分服务费和渠道费两项费用。
②本次仅结清服务费，渠道费暂不处理（记录备查）。

4.人工结清服务费

①将还款方式（对公转账或微信扫码）和所收取的费用金额明细发送给客户，引导客户支付。
②收集带有订单编号支付成功的截图,并创建工单流转当日在班组长，组长流转至技术处理结清。
③技术处理后将处理结果通过工单流转回原客服。

5.结果确认与通知客户

客服将处理结果告知客户，并引导其后续操作。

注：
①23年5月5日之前的不累计。
②若是纯微信渠道的客户，服务费无须结清。","【关于服务费未结清无法注销的处理方案】

【告知状态与原因】

您好，经查询，您当前绑定的是微信渠道，系统显示您尚有 [X] 笔服务费未结清，因此暂时无法为您提交注销申请。

【提供解决方案（首选方案：自动划扣）】

方案一：等待自动划扣（推荐）
请您将 [XX] 元 存入之前绑定的储蓄卡中，系统将在今晚 22:30 自动进行划扣。
划扣成功后，请您再次联系我们申请注销。我们的客服在线时间为 每日8:00 - 21:30，届时我们将为您及时处理。

【提供备选方案（客户着急时）】

方案二：扫码支付（加急处理）
如果您比较着急，可以选择扫码支付以快速结清。
支付金额：[XX] 元
操作流程：请您扫码支付，成功后务必将带有“订单编号”的付款截图发送给在线客服。
后续处理：我们收到截图后，将立即为您反馈至相关部门申请结清，以便推进注销流程。

方案三：对公转账
应付金额：[请在此处填写金额] 元
单位名称：解悠数字科技（南京）有限公司
账号：125916877610000
开户行：招商银行股份有限公司南京分行营业部
开户行行号：308301006029
转账成功后，请您务必将转账凭证截图或照片发送给解悠在线客服，我们将据此为您提交至相关部门处理，申请结清相关业务。",/,,,
售后业务,售后业务类,4,客户微信支付方式解绑后重新申请签约失败（暂停维护）,"1.微信搜索“微信车主服务”公众号→登录并绑定车辆信息；点击关闭服务； 
2.进入ETC管理界面→点右上角图标→再点击“删除ETC车牌”；
3.返回解悠重新签约。","您好，此报错需要您解除原有授权后重新签约，请按以下步骤操作：

第一步：解除原有授权

1.微信搜索并进入 “微信车主服务” 公众号。

2.登录后，找到并管理您的车辆信息，点击 【关闭服务】。

3.进入ETC管理界面，点击右上角的“…”或设置图标。

4.选择 【删除ETC车牌】，确认解除。

第二步：重新签约

1.完成以上操作后，请返回 “解悠货车服务”小程序。

2.按照页面提示，重新完成签约流程即可。",/,,,
售后业务,售后业务类,,如何更换银行卡？,"同行渠道需要联系解悠客服解绑后再进行操作绑定；
1.建行储蓄卡：解悠小程序→我的→支付方式→建设银行，点击去绑定（将绑定变成使用中）。
2.工行储蓄卡：解悠小程序→我的→支付方式→工商银行，点击去绑定（将绑定变成使用中）；
3.农业储蓄卡：解悠小程序→我的→支付方式→农业银行，点击去绑定（将绑定变成使用中）；
4.其他银行储蓄卡：解悠小程序→我的→支付方式→选择其他银行，点击去绑定（将绑定变成使用中）；","【更换绑定银行卡服务指引】

第一步：确认需求
您好，后台查询到您当前绑定的是 [XX]银行。请问您需要更换为哪家银行的卡片呢？

第二步：根据客户选择提供对应方案

【情况A：同行换绑（更换至同一家银行）】

（确认操作）
好的，您这是在同行渠道内更换卡片。我们需要先为您解绑原有的 [XX]银行卡，请问确认现在解绑吗？

（执行解绑与指引）
已为您完成解绑。请您等待5分钟后，按以下路径操作绑定新卡：
进入 解悠小程序 → 【我的】 → 【支付方式】 → 选择 [XX]银行 → 点击 【去绑定】，按提示完成操作直至状态显示为 “使用中”。

【情况B：非同行换绑（更换至不同银行）】

（直接指引）
好的，请您直接按以下路径操作即可：
进入 解悠小程序 → 【我的】 → 【支付方式】 → 选择 [XX]银行 → 点击 【去绑定】，按提示完成操作直至状态显示为 “使用中”。

第三步：最终确认与提醒

（无论哪种情况，绑定后统一回复）
已为您查询，后台显示换绑已成功！

温馨提示：请您后续保持新绑定银行卡余额充足，以免划扣失败影响您的正常通行。",/,,,
售后业务,售后业务类,5,激活成功查看车辆类型,/,"您好，查询车辆类型请按以下路径操作：

微信搜索并进入 “中国ETC服务” 小程序。

点击右下角 【我的】。

在页面中找到并点击 【我的车辆】。

即可在车辆列表中查看您车辆的详细信息，包括车辆类型。",/,,,
售后业务,售后业务类,6,查询以往通行账单记录,/,"您好，查询通行记录及账单详情的路径如下：

微信搜索并进入 “解悠货车服务” 小程序。

登录您的账户。

在【首页】即可找到 【通行账单】 入口，点击进入即可查看所有历史记录与详情。",/,"=DISPIMG(""ID_99554658737645D291C5100A3660C512"",1)",,
售后业务,售后业务类,7,如何开通账单推送功能；解悠ETC账单为什么没有收到账单提醒？,"
若客户反馈之前能正常收到账单推送，
1.首先在后台-客户列表-操作-用户设置查询[账单推送]是否开启，若已开启：
1.1需要客户核实“解悠数字科技”公众号关注状态，需要确认已关注；
1.2客户确认已关注，则让客户解悠货车服务小程序退出登陆，用手机号获取登陆即可。
2.若未开启，则受理客服开启账单推送功能，再让客户的解悠货车服务小程序退出登陆，用手机号获取登陆即可。","【账单推送功能服务指引】

情况一：指导开通账单推送功能

1.您好，开通账单推送功能请按以下步骤操作：
2.关注公众号：微信搜索并关注 “解悠数字科技” 公众号。
3.登录小程序：微信搜索并登录 “解悠货车服务” 小程序。
4.完成开通：完成以上两步后，下次产生新账单时，您就能通过 “解悠数字科技” 公众号收到账单推送了。

情况二：功能未开启或状态异常（自助解决方案）

需要您核实下您的“解悠数字科技”公众号是确认关注的状态。
若确认关注，请您前往 “解悠货车服务”小程序，先退出登录，然后再次选择 【获取手机号登录】 的方式重新授权登录即可恢复。",工单类型【9901划扣问题】,,,
售后业务,售后业务类,8,如何查询绑定的银行卡号,"客服操作：
1.查看绑定银行卡号（解悠小程序 → 我的 → 支付方式查看，客服后台“客户列表”也可查看）；
注：微信支付渠道需要客户去“微信车主服务”公众号前往查询看到绑定的银行卡信息。","【查询绑定银行卡信息指引】

方案一：自助查询指引（首选）
您好，您可以通过以下路径轻松查看绑定的银行卡信息：
请进入 “解悠货车服务”小程序 → 登录后点击底部 【我的】 → 选择 【支付方式】，即可查看您已绑定的银行卡详情。

方案二：代理或无法操作时代查
（直接告知安全信息）
您好，已为您在后台查询：
绑定银行：[XX]银行
卡号后四位：[XXXX]
此为基于信息安全的查询结果，如需查看完整卡号建议通过小程序自助查询。

方案三：微信信用卡渠道特殊指引
（渠道区分说明）
您好，查询到您绑定的是微信信用卡渠道。
因此需要请您通过以下方式查看：
微信搜索并进入“微信车主服务”公众号 → 在ETC服务管理中即可查看绑定的信用卡完整信息。",/,,,
售后业务,售后业务类,9,扣款失败原因：空白/未知错误,收集客户信息（姓名、手机号、车牌号、通行ID）反馈9901技术群进行查询,您好，您反馈的划扣失败问题我们已加急提交技术部门核查。我们会在收到回复后的第一时间主动告知您，请您耐心等待。,/,,,
售后业务,售后业务类,10,扣款失败原因：建行有效期到期,"客户绑定的建行卡有效期已过，因为建行芯片卡一般有效期是5至10年，需要携带客户证件前往银行柜台办理换卡等相关业务，近期建议客户更换一张银行卡进行扣费，避免影响车辆ETC通行。
注：
1.若账单客户已手动还款成功，建议告知客户产生账单后晚上不拉黑还款时间或告知客户换绑银行卡。
2.若客户未将逾期账单结清，一定需要告知客户手动还款的步骤。","
【关于建行卡过期导致ETC扣款失败的处理方案】

1. 问题说明与长期建议

您好，您绑定的建设银行芯片卡有效期通常为5-10年，目前卡片已过期。

长期解决方案：建议您携带身份证件前往建行柜台办理换卡业务。

近期应急方案：为避免影响ETC通行，请尽快更换一张其他有效的银行卡作为扣款账户。

2. 逾期账单处理指引

您好，由于银行卡过期，您有ETC通行账单划扣失败并逾期。请您按以下步骤手动还款：

微信搜索进入 “解悠货车服务” 小程序（或直接扫描ETC卡片背后的二维码）。

点击 【通行消费】 → 【支付逾期】。

完成支付后，ETC将在 4-24小时内 自动恢复正常使用。

后续优化建议：结清账单后，建议您更换绑定其他银行卡片，或开通解悠钱包并充值进行划扣，以绝后患。

3. 待支付账单处理方案

您好，查询到您有待支付账单。若您暂时无法绑定其他银行卡，我们提供以下方案：

推荐方案：立即开通 解悠钱包 并充值，系统将自动划扣。

备选方案：您也可在 今晚22:40至次日凌晨1:30 期间，通过小程序手动还款。在此时间段内操作，ETC账户不会被拉黑。",/,,,
售后业务,售后业务类,11,扣款失败原因：绑定关系不存在,"若后台客户绑定银行状态正常，则可能是客户端操作解绑，需要解悠后台解绑后，让客户重新绑定。
注：若有账单未结清需要告知客户还款方式。","您好，此报错需要我们先在后台为您解绑当前支付渠道。解绑完成后，请您按以下路径操作：

1.进入 “解悠货车服务”小程序 → 【我的】 → 【支付方式】。

2.在银行列表中选择您需要绑定的其他银行。

3.点击 【去绑定】，并按提示完成操作，直至状态变为 “使用中”。

4.绑定成功后，请您留意下一期账单的划扣状态。如有任何问题，请及时联系我们为您进一步排查。",/,,,
售后业务,售后业务类,12,扣款失败原因：功能尚未开通，请通过交易安全锁设置,"需要客户联系银行客服或前往银行柜台询问如何将交易安全锁解锁。
注：若有账单未结清需要告知客户还款方式。","您好，此报错是由于您银行卡的“交易安全锁”功能未开启或受到限制导致的。

请您直接联系发卡银行的官方客服，或【携带身份证与银行卡】前往【银行柜台】，咨询并办理“交易安全锁”的解锁或开启业务。",/,,,
售后业务,售后业务类,13,"扣款失败原因:协议号已解绑,该笔订单不存在","1.方案一：需要协助客户解绑银行卡，解绑后引导客户重新绑定。

如方案一无法解决，递进方案二协助服务。

2.方案二：需要客户联系银行客服或前往银行柜台核实卡状态，若卡状态正常则流转工单至【客服组长】处理。
注：若有账单未结清需要告知客户还款方式。","【方案一对客话术】

您好！关于您遇到的报错，需我处帮您解除所绑定的银行卡，解除绑定后，您重新绑定，请确认是否需要解绑？

已为您解绑，请您直接按以下路径操作即可：
进入 解悠小程序 → 【我的】 → 【支付方式】 → 选择 [XX]银行 → 点击 【去绑定】，按提示完成操作直至状态显示为 “使用中”。

【方案二对客话术】

您好！关于您遇到的报错，建议您先联系发卡银行，确认您的银行卡状态正常（例如是否冻结或限额）

确认没问题后，您可以再次联系我们，我们一定会第一时间为您进行深度排查。",工单类型【9901划扣问题】,"=DISPIMG(""ID_6503F7694C3643A0B81A1B0DA9AD3679"",1)",,
售后业务,售后业务类,,,,,,,,
售后业务,售后业务类,14,建行有效期到期，为什么充值可以，划扣不行？,因为转账是通过APP转账的，不受有效期限制，但代扣.刷卡等用卡行为是会因有效期而失效的。,"您好，向您说明一下：通过手机银行APP主动转账不受银行卡有效期限制，但ETC代扣、POS机刷卡等被动扣款业务，会因卡片过期而自动失效。

为确保您的ETC能持续正常使用，建议您尽快选择以下任一方案：

1.更换银行卡：绑定一张您名下仍在有效期内的其他银行卡。

2.使用解悠钱包：开通并充值解悠钱包，系统将优先从钱包余额中划扣账单，无需担心卡片过期问题。",/,,,
售后业务,售后业务类,15,策略管理黑名单原因提示：1天未支付等,受理客服通过[9901系统-通行记录]查询划扣失败原因，并告知客户划扣失败原因及逾期还款方式、解黑时效。,"【ETC逾期黑名单处理方案】

第一步：确认问题并主动提供帮助
您好，经查询，您的ETC因[XXXX原因]导致一笔逾期账单划扣失败，目前账户已进入黑名单。
请问您现在绑定的银行卡余额是否充足？如果充足，我们可以立即在后台为您发起补扣尝试。

第二步：处理客户响应

【情况A：客户确认余额充足】（执行补扣并告知后续）

好的，已为您发起补扣。
请您关注银行扣款短信或流水。补扣成功后，您的ETC将在 4到24小时内 自动恢复使用。由于全国系统同步需要时间，请您耐心等待。

【情况B：客户未回复或需要手动操作】（提供备选方案）

您好，若您方便，也可以手动还款以快速处理。手动还款路径：
1.微信搜索 “解悠货车服务”小程序（或直接扫描ETC卡片背后的二维码）。
2.点击 【通行消费】 → 【支付逾期】。
3.完成支付后，ETC同样将在 4到24小时内 恢复正常使用。",/,,,
售后业务,售后业务类,16,策略管理黑名单原因提示：狮桥-小贷逾期,受理客服通过[产品后台-逾期管理]查询狮桥小贷是否逾期进入黑名单。核实进入黑名单，则告知客户黑名单原因、还款路径及客服热线、解黑时效。,"您好，经后台查询，您的ETC账户因在 “普惠” 平台存在贷款逾期记录而被关联进入黑名单状态。

此问题需要您自行联系普惠金融官方客服热线【95787】，咨询并办结相关还款业务。

待您还款成功后，请耐心等待【4至24小时】，ETC系统将自动更新状态并恢复使用。",/,,,
售后业务,售后业务类,17,客户反馈通行费多扣费怎么办？,"1.核实车型是否办理正确；（以后台行驶证副页及询问客户车轴数进行排查）
2.核对通行账单，及金额；
注：
1.若客户告知与同行车辆扣费不一致的情况，请确认车型、路段是否一致，且上报条件需要同时附上两辆车的上下高速的时间及站点名称；
（若与同行车辆走的相同路段，但时间不一致，可能涉及时间化差异优惠）
2.若是集装箱，需要客户提供集装箱预约截图一并登记上报。
（湖北路段：集装箱无须预约，可不提供集装箱截图）","【ETC费用争议处理流程】
第一步：确认问题账单
您好，请问您认为具体是哪一笔账单存在多扣费的情况？

第二步：核实信息并确认事实
您好，我们已核实您的车辆办理信息准确无误。
您提到的该路段通行账单构成如下：
通行计费金额：[XX] 元
平台服务费：[XX] 元
账单总金额：[XX] 元
请问您之前确实通行过该路段吗？

第三步：根据排查结果提供解决方案
【引导客户自行联系高速（首选）】
（情况说明与建议）
您好，由于所有通行费用的计费和数据均由高速公路方直接生成并下发，我们建议您拨打全国高速客服热线 95022，然后按 9（投诉与建议） 再转 1（费用争议），向官方直接核实此笔费用的准确性。
（服务承诺）
请您放心，若高速方核实确为多扣费，款项会原路退回至您的账户。

【客户不愿自行联系，由我方协助上报】
（受理与告知流程）
好的，我们理解您的需求。解悠将为您把该笔账单作为异常工单上报至高速方进行核查。
（管理预期）
此类核查的官方回复周期通常需要 3至4个工作日，届时会有专人通过电话或短信告知您最终结果，请您耐心等待。","工单类型：通行异常→流转人（客服组长）
模板：车牌黑A12345，2023年12月11日 15：24：45从江苏苏南硕放机场收费站上高速至12月11日16：18：10江苏甪直站下高速，通行金额为：25.69元；客户反馈之前下高速金额为23元左右，联系95022说ETC账单为解悠出，需要联系解悠处理。",,,
